%Mg,%Al,%Si,%S,%K,%Ca,%Ti,%Mn,%Fe
1.1787,1.6364,6.5759,0.4663,0.5853,30.4133,0.0703,0.0149,0.8455
0,0.3344,3.0269,0.4579,0.2176,33.2462,0.0263,0.0131,0.9217
0.1037,0.6495,4.324,0.4321,0.3579,30.6909,0.0474,0.014,0.9213
0.7465,0.3981,3.0783,0.6921,0.2229,35.6102,0.0218,0.0138,0.848
0.7241,0.2485,2.216,0.4322,0.1257,37.5925,0.0155,0.0136,0.7512
0,0.3689,2.6534,0.3484,0.1799,35.2126,0.023,0.0133,0.8721
1.7858,0.1788,2.0977,0.9827,0.1012,37.6266,0.0104,0.0131,1.1217
0.7832,0.511,3.2446,0.2385,0.2285,35.4483,0.0267,0.0138,0.8045
0.4105,0.0095,2.2629,0.3442,0.0961,36.1061,0.0159,0.0142,0.8202
1.0416,1.011,3.7232,1.0262,0.2609,34.9022,0.0364,0.0136,0.9024
0.4042,0.2094,2.4507,0.2352,0.1258,34.5335,0.0188,0.0136,0.8834
0.7642,0.2224,2.6419,0.2823,0.1262,36.4431,0.0163,0.0135,0.8445
