%Mg,%Al,%Si,%S,%K,%Ca,%Ti,%Mn,%Fe,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite
0.6715,6.6097,20.4053,0.5316,2.1614,10.1948,0.2987,0.0212,1.3829,26.4,10.9,6.8,31.1,9.7,6,2.7,3.1,3.3
1.2776,6.5247,22.8122,0.8897,2.1686,9.5464,0.32,0.0204,1.5338,27.8,9.4,7.1,29.5,10.2,5.2,2.8,3.4,4.6
1.3693,5.2487,23.7355,0.5629,1.6269,8.4578,0.2843,0.0231,1.2605,33.8,10.1,6,27.8,9.4,5.2,3.1,2.3,2.2
0.1612,3.8484,23.3547,0.5488,1.3714,9.2865,0.2125,0.0219,1.1254,34.2,15.3,3.7,22.8,8.9,6.6,2.3,2.7,3.3
0.352,1.72,6.6246,0.5178,0.6706,29.0529,0.0919,0.0146,0.9955,4,6.8,4.9,59.8,7.4,5.3,4.7,3.6,3.5
0.8304,0.4889,3.5662,0.2689,0.2608,33.085,0.0345,0.0146,0.8912,3.2,11.5,5.1,55.2,6.8,6.4,3.8,5.1,2.7
0.2944,5.474,17.3031,0.5513,1.6449,12.2125,0.2713,0.0186,1.559,19,9.2,4.7,43.9,8.2,5.7,3.8,3.6,1.9
1.062,2.6659,8.6275,1.6388,0.749,22.6381,0.1625,0.015,1.6587,7.5,18.8,4.8,47.1,6.7,3.7,2.9,5.7,2.8
2.644,8.7539,20.0366,1.5682,2.2287,15.3483,0.3894,0.0185,2.0787,7.8,4.8,5.2,62.4,6.1,4.2,3.2,3.8,2.6
1.0838,0.4226,2.9944,1.365,0.2136,34.1013,0.0282,0.0144,1.4771,2,6.5,5.8,56.7,7.1,6.6,4.9,7.5,2.9
0.154,0.4032,2.7919,0.3525,0.1953,35.5278,0.0259,0.0148,0.8839,2,5.7,3.9,59.9,7.4,4.7,4.7,6.1,5.6
0.6078,1.7703,8.744,0.6208,0.5876,26.823,0.104,0.0174,0.9132,13.5,6.3,3.1,55.1,8.2,3.7,2.4,4.5,3.3
0.8087,3.0639,14.7445,0.7127,0.9755,18.9085,0.1948,0.0196,1.1335,13.2,5.7,3,54.4,7.6,5.3,3.8,4.4,2.7
0.6401,1.3068,5.7377,0.3849,0.3894,30.9332,0.0759,0.0167,0.8561,6.1,6,5.3,63.2,6.3,3,3.3,3.1,3.7
0.4713,0.7251,4.7276,0.3611,0.3253,32.9885,0.0517,0.0153,0.8228,8.2,6.8,5,59.8,5.9,3.5,3.6,3.1,4.1
0.4506,2.9613,11.3301,0.7822,0.8042,22.3443,0.1773,0.0176,1.2546,12.4,6.6,4,53.5,6.6,4.6,3.7,5.4,3.1
0.5884,0.3741,2.8925,0.2248,0.2239,36.1735,0.0297,0.0143,0.7919,2.4,8.8,5.2,62,6.6,4.2,3.2,4.4,3.2
0.632,0.6313,3.4534,0.4245,0.3214,34.1159,0.0386,0.0144,0.8348,2.4,6.1,4.8,64,5.7,4.9,4.5,3.8,3.8
