Depth (ft),%Na,%Mg,%Al,%Si,%P,%S,%K,%Ca,%Ti,%Mn,%Fe,V ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,As ppm,Pb ppm,Th ppm,Rb ppm,U ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite
5697.333,0.3102,0,0.2753,3.5555,0,0.2168,0.2197,31.4856,0.0333,0.014,0.8144,39,10,7,12,10,7,5,1,5,3,20,4,185,21,63,2,0,2.5,3.3,3,68.9,6.2,5.4,4.1,4.2,2.3
5697.667,0.2484,0.5564,0.4794,3.3945,0,0.417,0.2163,34.6989,0.0279,0.0135,0.888,43,14,7,17,16,5,3,9,9,3,14,0,179,21,42,2,3,,,,,,,,,
5698.333,0.1838,0,1.1192,5.069,0,0.3945,0.3816,31.8078,0.06,0.0143,0.9033,29,27,6,16,12,10,4,4,8,3,20,3,203,24,57,4,4,,,,,,,,,
5698.667,0.2147,0.6404,0.4826,3.7331,0.0099,0.2591,0.2763,34.1429,0.0428,0.0141,0.8197,43,17,6,12,18,5,5,1,10,4,24,0,995,2,29,3,0,,,,,,,,,
5699,0.1883,0,0.5045,3.7261,0,0.2877,0.3013,32.6066,0.0441,0.0141,0.8064,47,20,6,16,12,10,6,7,9,4,29,0,426,21,49,4,0,3.2,5.6,4.9,65.3,5.6,5.1,2.8,5.2,2.2
5699.333,0.4016,0.6123,7.1968,27.3615,0.0848,1.0557,2.2838,4.5448,0.3759,0.0225,1.5439,65,124,3,45,14,26,14,3,10,9,104,14,1214,0,262,14,17,,,,,,,,,
5699.667,0.421,0.7442,7.4679,27.8626,0.0386,0.9947,2.4167,4.3176,0.4375,0.0234,1.56,49,109,3,37,10,16,11,3,10,8,103,2,115,31,271,13,16,,,,,,,,,
5700,0.3424,1.5472,7.0047,24.1557,0.0415,1.1094,2.2536,8.4126,0.3894,0.0205,1.881,60,105,6,40,16,18,10,9,12,8,106,6,144,30,263,14,21,27.7,6.2,7,33.7,10.1,5.3,2.8,4.4,2.8
5700.333,0.3273,1.2313,6.2067,18.832,0.0404,1.6998,1.7683,11.6485,0.3134,0.0188,2.1509,23,87,5,45,14,26,14,18,17,8,105,3,187,31,208,11,9,,,,,,,,,
5700.667,0.2807,0.9032,7.4932,21.6795,0.0408,1.5731,2.3705,8.7665,0.3923,0.0187,2.1658,29,92,5,56,16,28,13,15,15,9,124,0,172,29,224,12,19,,,,,,,,,
5703.333,0.3757,0.5985,4.1243,14.8904,0.0156,0.7779,1.187,16.5903,0.2395,0.0174,1.6325,23,73,5,27,11,18,8,7,10,6,79,4,232,37,263,11,27,21,11.7,4.6,41.9,6.6,4.8,2.7,4,2.8
5703.667,0.4537,0,3.3941,14.0344,0,0.5519,1.1019,15.6745,0.2202,0.0177,1.4268,7,68,4,23,14,6,6,9,10,5,50,0,211,37,251,9,13,,,,,,,,,
5704,0.1442,0.2868,0.7791,3.6717,0,0.1702,0.3657,33.8501,0.0396,0.0143,0.7877,37,18,6,20,15,13,6,2,10,5,28,1,1055,1,22,4,0,,,,,,,,,
5704.333,0.2102,0,0.5149,3.7186,0,0.2981,0.3284,33.7849,0.0384,0.0143,0.7989,34,15,7,20,16,13,6,4,7,4,21,13,910,3,24,4,0,,,,,,,,,
5704.667,0.1961,0.0828,0.7093,3.8632,0,0.1867,0.356,33.5445,0.0423,0.0142,0.7922,33,23,8,20,18,12,5,8,9,4,28,8,760,10,31,5,0,2.5,4.7,2.6,70.9,5,3.4,3.6,3.6,3.6
5705,0.1864,0.209,0.8284,4.4292,0,0.1903,0.3864,32.3368,0.0437,0.0146,0.8084,36,22,7,14,14,4,4,6,7,4,27,0,293,24,63,3,0,,,,,,,,,
5705.333,0.2967,1.7521,3.5636,16.5164,0.0357,1.1718,1.0391,15.1872,0.1848,0.0182,2.0146,44,79,5,35,12,24,8,11,12,6,68,0,200,30,220,9,14,,,,,,,,,
5705.667,0.3822,2.8002,4.6787,23.6922,0.0943,0.7053,1.4221,9.8766,0.2865,0.0212,1.9576,54,105,6,24,12,27,10,14,14,7,82,9,697,18,258,12,16,,,,,,,,,
5706.333,0.3618,2.5622,5.7978,22.5291,0.0951,1.2001,1.7275,9.5333,0.3111,0.0205,2.3368,26,91,4,37,16,27,13,8,12,8,89,11,1010,7,229,12,11,27.9,20.8,7.1,21.9,8.2,4.3,2.9,4.1,2.8
5706.667,0.3085,1.9517,6.0356,24.198,0.1158,1.2111,1.9337,7.8479,0.3322,0.0218,2.3289,72,99,4,34,12,28,13,7,12,8,96,13,1080,3,218,13,13,,,,,,,,,
5707,0.402,1.9534,5.5852,23.6233,0.0955,1.0517,1.8514,7.7226,0.3102,0.0213,2.0922,50,98,6,45,14,24,11,13,13,8,93,23,1151,3,220,13,12,,,,,,,,,
5707.333,0.3791,1.4509,6.4877,20.8145,0.0488,0.9558,2.165,11.7324,0.3459,0.0186,1.7447,22,98,5,24,8,18,12,10,13,8,110,13,148,31,282,14,19,29.3,15.2,6.4,27.6,7,4.5,2.8,4.4,2.7
5707.667,0.3669,2.0158,6.2982,26.4411,0.0588,0.7681,1.9719,6.4749,0.3577,0.0224,1.7894,63,106,4,33,10,20,11,12,13,8,96,5,120,35,271,13,20,,,,,,,,,
5708,0.3631,1.4624,6.384,26.0343,0.059,0.7424,1.8785,8.1178,0.349,0.0224,1.7175,16,111,6,28,14,14,8,14,12,7,90,3,195,28,241,11,13,,,,,,,,,
5708.333,0.3382,0,0.4414,3.5496,0,0.1958,0.3113,31.423,0.0393,0.0143,0.7904,25,21,7,20,24,17,7,12,11,5,25,4,1854,0,9,7,0,3.5,5.2,3.9,69,4.5,3.2,4.2,4.2,2.3
5708.667,0.3485,1.7329,5.8359,20.1842,0.0423,1.3654,1.7522,11.8105,0.2819,0.0187,1.6135,1,92,6,30,16,30,11,10,12,8,96,6,208,29,228,11,13,,,,,,,,,
5709,0.3728,0.982,6.7165,19.387,0.0242,0.6617,2.1945,12.2494,0.3223,0.0189,1.5193,9,94,4,42,14,31,13,1,9,9,113,4,219,27,192,11,10,16.3,6.7,4.1,53.6,7.4,3.8,1.7,3.2,3.3
5709.333,0.3115,1.9558,6.3455,20.2754,0.0614,1.2455,1.9052,13.261,0.2832,0.0183,1.8969,4,98,8,32,12,23,11,10,13,8,97,7,240,28,221,10,9,,,,,,,,,
5709.667,0.3573,0.9507,8.3189,23.6478,0.029,1.2366,2.7559,6.6726,0.4199,0.0205,2.0046,30,98,8,33,11,29,15,3,11,10,135,4,183,29,207,10,10,20.6,10.8,6,40.4,6.3,4.8,2.8,4.9,3.4
5710,0.3337,1.5554,6.2461,18.4832,0.0474,1.1296,1.8859,13.5969,0.3084,0.0179,1.868,17,82,6,46,14,24,11,7,11,9,111,1,256,30,212,10,10,,,,,,,,,
5710.333,0.3364,1.3146,8.5304,23.6353,0.0401,1.0825,2.9294,6.3009,0.4312,0.0203,2.0106,12,112,5,30,10,30,16,4,11,11,151,2,173,28,209,11,8,25.8,11.5,6.5,32.4,7.8,5,3.4,5.2,2.3
5710.333,0.4022,1.8492,6.4928,22.4123,0.0423,0.9647,2.0925,10.6265,0.3071,0.0201,1.8209,7,93,5,32,11,22,12,7,11,8,102,7,182,31,234,11,20,,,,,,,,,
5710.667,0.3741,1.2172,6.7071,22.4474,0.0457,0.7133,2.1233,11.2626,0.3073,0.0201,1.5995,35,106,5,34,13,24,13,3,10,9,112,8,198,34,232,12,16,26,9.7,6.5,34.7,7.6,5,2.7,5.2,2.6
5710.667,0.3282,1.7716,7.7144,20.9055,0.0361,1.4346,2.3807,9.6728,0.3692,0.0188,2.116,36,85,5,36,13,31,14,9,13,9,116,5,193,31,213,9,12,,,,,,,,,
5711,0.4112,0.9572,6.8509,22.2023,0.078,0.8239,2.1892,9.2752,0.3413,0.0195,1.6734,0,103,5,32,11,19,12,5,11,9,110,12,902,8,225,12,9,,,,,,,,,
5711,0.3804,1.2405,5.5762,22.3309,0.0608,0.7558,1.8449,10.8764,0.3075,0.0207,1.427,19,108,6,28,15,20,10,3,10,7,89,7,313,28,263,12,13,,,,,,,,,
5711.333,0.3785,0.6715,6.6097,20.4053,0.3915,0.5316,2.1614,10.1948,0.2987,0.0212,1.3829,62,111,9,75,46,63,29,7,18,16,123,91,8300,0,9,28,0,26.4,10.9,6.8,31.1,9.7,6,2.7,3.1,3.3
5711.333,0.3498,1.2776,6.5247,22.8122,0.052,0.8897,2.1686,9.5464,0.32,0.0204,1.5338,27,108,4,31,11,28,14,5,11,9,112,4,251,27,243,13,12,27.8,9.4,7.1,29.5,10.2,5.2,2.8,3.4,4.6
5711.667,0.3159,1.5993,6.7979,20.4765,0.4539,0.6136,2.1593,11.2356,0.3199,0.0207,1.3812,35,118,10,85,58,77,34,11,31,17,112,119,11359,0,0,31,0,,,,,,,,,
5711.667,0.4027,0.7875,5.2349,26.0098,0.0659,1.0914,1.9055,7.886,0.3547,0.0222,1.458,0,126,8,41,13,29,13,6,11,8,94,5,739,15,335,14,22,,,,,,,,,
5712,0.3434,0.9577,5.433,23.7639,0.6819,0.4502,1.7002,8.0164,0.2917,0.0225,1.1819,32,121,10,72,50,65,29,12,23,14,74,122,10772,0,64,32,0,,,,,,,,,
5712.333,0.3354,1.3693,5.2487,23.7355,0.8036,0.5629,1.6269,8.4578,0.2843,0.0231,1.2605,57,134,6,72,45,58,29,6,14,14,83,110,9534,0,91,32,0,33.8,10.1,6,27.8,9.4,5.2,3.1,2.3,2.2
5712.667,0.3112,1.66,2.5113,19.0382,0.3161,1.9484,0.9615,14.805,0.1791,0.0205,1.0542,60,97,7,37,29,29,12,7,11,6,39,52,4054,0,148,17,8,,,,,,,,,
5713,0.3974,1.5182,3.3728,22.0272,0.1631,0.5486,1.1653,11.2521,0.2268,0.0222,1.5148,47,93,7,29,18,20,10,6,10,6,56,31,2327,0,201,14,10,,,,,,,,,
5713.333,0.3926,1.9995,2.9349,22.6825,0.3605,0.3313,1.0497,9.4326,0.1751,0.0229,1.5136,109,112,4,42,28,42,17,11,15,8,44,65,6083,0,132,19,0,,,,,,,,,
5713.667,0.4696,0.1612,3.8484,23.3547,0.047,0.5488,1.3714,9.2865,0.2125,0.0219,1.1254,40,105,8,24,10,7,6,1,7,6,66,4,239,30,203,9,9,34.2,15.3,3.7,22.8,8.9,6.6,2.3,2.7,3.3
5714,0.5099,0.3912,4.2288,26.6113,0.0586,0.6973,1.5172,5.9662,0.2485,0.0223,1.4555,60,109,3,24,11,7,6,6,9,6,70,4,155,32,241,10,15,,,,,,,,,
5714.333,0.3198,0.1135,3.5771,10.483,0,0.7885,1.0127,20.7012,0.2102,0.0154,1.509,0,50,6,28,12,27,11,7,11,8,97,11,251,24,165,10,13,,,,,,,,,
5714.667,0.1823,0,1.2774,4.3845,0.2072,0.7599,0.5192,32.0685,0.0649,0.0144,0.8978,38,18,7,29,25,28,10,8,11,5,25,36,3201,0,0,10,0,,,,,,,,,
5715,0.3078,0.352,1.72,6.6246,0,0.5178,0.6706,29.0529,0.0919,0.0146,0.9955,13,32,8,19,14,24,5,6,10,4,27,0,400,22,64,3,2,4,6.8,4.9,59.8,7.4,5.3,4.7,3.6,3.5
5715.333,0.2119,0.422,0.659,3.6181,0.0234,0.2187,0.3381,33.5168,0.0362,0.0143,0.8677,36,17,7,17,16,16,7,3,8,4,29,11,1527,0,1,5,0,,,,,,,,,
5715.667,0.1866,0.9116,0.9366,3.5497,0.1403,0.5024,0.3374,33.0699,0.0392,0.0146,0.8277,37,21,8,23,23,18,11,4,8,5,23,10,3171,0,0,10,0,,,,,,,,,
5716,0.2312,0.8304,0.4889,3.5662,0.0249,0.2689,0.2608,33.085,0.0345,0.0146,0.8912,41,21,5,16,19,13,7,2,6,4,20,4,1204,3,16,5,0,3.2,11.5,5.1,55.2,6.8,6.4,3.8,5.1,2.7
5716.333,0.1873,0.2575,0.7702,3.8486,0.046,0.1978,0.3377,33.2637,0.0417,0.0148,0.8206,59,17,6,30,22,25,8,11,11,5,34,16,2475,0,0,9,0,,,,,,,,,
5716.667,0.3873,0.2944,5.474,17.3031,0.5414,0.5513,1.6449,12.2125,0.2713,0.0186,1.559,25,82,9,85,62,82,40,2,13,18,103,144,13183,0,0,36,0,19,9.2,4.7,43.9,8.2,5.7,3.8,3.6,1.9
5717,0.2784,1.4702,2.5586,8.6576,0.0303,1.0127,0.607,25.7718,0.14,0.015,1.3205,6,42,4,29,20,23,11,5,10,6,45,13,1686,0,76,10,0,,,,,,,,,
5717.333,0.3413,0.5866,4.4145,17.9476,0.2807,0.5403,1.2485,12.853,0.2733,0.0192,1.7958,20,72,3,51,27,51,21,13,21,11,76,84,6083,0,51,21,0,,,,,,,,,
5717.667,0.2442,0.7796,4.1513,12.0349,0.0301,0.6969,1.0745,19.6121,0.2272,0.0157,2.0541,33,64,5,44,19,30,11,7,11,6,70,1,877,8,83,7,2,,,,,,,,,
5718,0.2998,1.062,2.6659,8.6275,0.0485,1.6388,0.749,22.6381,0.1625,0.015,1.6587,11,37,3,24,19,30,13,4,10,7,71,15,1674,0,63,8,0,7.5,18.8,4.8,47.1,6.7,3.7,2.9,5.7,2.8
5718.333,0.2089,0.2716,1.1684,5.1057,0,0.4256,0.426,31.3498,0.0673,0.0148,0.8891,23,24,6,19,18,24,10,5,10,5,35,3,1317,0,25,6,0,,,,,,,,,
5718.667,0.2242,0.108,1.296,4.7873,0,0.4614,0.4794,31.2676,0.0565,0.0155,1.0159,40,22,6,20,14,15,6,8,9,4,33,0,186,20,44,3,0,,,,,,,,,
5719,0.2717,2.644,8.7539,20.0366,0.1051,1.5682,2.2287,15.3483,0.3894,0.0185,2.0787,21,71,6,38,22,34,17,19,19,8,97,0,285,29,126,7,1,7.8,4.8,5.2,62.4,6.1,4.2,3.2,3.8,2.6
5720.333,0.1747,1.0838,0.4226,2.9944,0,1.365,0.2136,34.1013,0.0282,0.0144,1.4771,62,6,5,19,17,12,5,11,11,3,16,2,414,19,24,4,3,2,6.5,5.8,56.7,7.1,6.6,4.9,7.5,2.9
5720.667,0.1688,0.8353,0.6331,3.5835,0,1.1519,0.295,33.0302,0.0335,0.0155,0.8846,35,20,8,13,15,12,5,5,8,4,23,2,605,9,18,4,0,,,,,,,,,
5721,0.1854,0.5918,0.589,3.2623,0,0.5682,0.268,33.978,0.0286,0.0155,0.9131,54,18,6,16,12,13,5,7,9,3,20,7,338,16,25,3,0,,,,,,,,,
5721.333,0.1845,0.6053,0.6593,3.4872,0,0.4937,0.3136,34.639,0.039,0.0154,0.8525,46,17,6,14,13,7,5,6,8,4,23,0,259,22,29,2,0,,,,,,,,,
5721.667,0.097,0.2761,0.741,3.7378,0,1.229,0.2982,33.2663,0.0512,0.015,1.1159,27,21,7,22,13,17,6,10,10,4,28,0,252,20,24,2,3,,,,,,,,,
5722,0.1689,0.154,0.4032,2.7919,0,0.3525,0.1953,35.5278,0.0259,0.0148,0.8839,51,6,6,12,14,7,4,9,9,3,20,3,257,18,24,1,5,2,5.7,3.9,59.9,7.4,4.7,4.7,6.1,5.6
5722.333,0.1938,0.4903,0.4657,3.2195,0,0.5702,0.2466,35.3183,0.029,0.0153,0.8641,64,21,7,14,14,2,2,11,10,3,13,0,242,17,20,2,0,,,,,,,,,
5722.667,0.2468,0,1.0216,6.4238,0,0.5615,0.382,28.5448,0.0562,0.0167,0.8117,42,37,6,13,12,13,7,5,9,4,31,6,299,16,63,3,8,,,,,,,,,
5723,0.3081,0.025,1.5767,7.6181,0,0.4156,0.5434,27.3251,0.0954,0.0175,0.9403,34,40,6,18,12,9,7,7,10,4,35,0,285,20,80,4,1,,,,,,,,,
5723.333,0.3013,0.6078,1.7703,8.744,0.0233,0.6208,0.5876,26.823,0.104,0.0174,0.9132,35,40,6,17,14,10,6,10,10,4,36,13,536,18,89,5,5,13.5,6.3,3.1,55.1,8.2,3.7,2.4,4.5,3.3
5723.667,0.3304,0.5715,3.0636,15.082,0.0191,0.8362,1.0085,16.6879,0.2018,0.0188,1.4653,10,64,6,19,12,13,7,15,13,6,64,5,233,20,133,7,14,,,,,,,,,
5724,0.2886,0.9413,2.701,10.7848,0.0122,0.6973,0.8027,23.6021,0.1509,0.0176,1.225,12,51,5,16,15,13,7,18,13,5,50,0,483,21,106,4,7,,,,,,,,,
5724.333,0.3599,0.8087,3.0639,14.7445,0.022,0.7127,0.9755,18.9085,0.1948,0.0196,1.1335,6,72,4,11,10,13,6,8,10,5,55,13,328,18,137,8,15,13.2,5.7,3,54.4,7.6,5.3,3.8,4.4,2.7
5724.667,0.2779,0.7621,2.5182,11.2536,0,0.8972,0.7486,22.4231,0.1849,0.0177,1.368,21,40,7,13,15,5,4,14,12,4,28,0,244,19,49,4,3,,,,,,,,,
5725,0.2281,0.8742,1.0525,4.7007,0,0.4173,0.3437,31.9285,0.0568,0.016,0.7437,30,26,7,13,9,7,3,10,10,3,26,0,227,23,49,3,0,,,,,,,,,
5725.333,0.2641,0.729,2.0732,6.999,0,0.4743,0.5462,28.6072,0.111,0.0159,1.107,12,32,5,19,19,19,8,6,10,5,41,0,230,24,77,4,3,,,,,,,,,
5725.667,0.2317,0.6401,1.3068,5.7377,0,0.3849,0.3894,30.9332,0.0759,0.0167,0.8561,37,32,7,16,16,13,5,5,8,4,27,0,226,20,51,3,0,6.1,6,5.3,63.2,6.3,3,3.3,3.1,3.7
5726,0.2897,0.017,2.0708,7.6604,0,0.4719,0.6239,24.4669,0.1247,0.0162,1.1256,16,34,5,14,17,6,5,16,12,4,38,6,259,20,78,4,6,,,,,,,,,
5726.333,0.1515,0,0.8722,4.6699,0,0.5971,0.3274,32.1259,0.0451,0.0152,1.0226,36,21,5,22,12,6,5,9,10,3,21,0,247,17,47,2,0,,,,,,,,,
5726.667,0.1877,0.1874,0.9318,5.1944,0,0.4322,0.4174,30.8839,0.0638,0.0155,0.8832,33,24,7,10,9,8,5,8,10,3,21,2,375,12,41,2,2,,,,,,,,,
5727,0.1631,0.4713,0.7251,4.7276,0,0.3611,0.3253,32.9885,0.0517,0.0153,0.8228,39,25,7,16,16,10,6,10,11,4,24,7,378,14,42,1,7,8.2,6.8,5,59.8,5.9,3.5,3.6,3.1,4.1
5727.333,0.2566,0.3431,1.322,6.078,0,0.4955,0.4209,30.0566,0.0746,0.0153,0.8924,25,28,7,14,14,14,7,10,11,5,48,6,376,21,111,7,15,,,,,,,,,
5727.667,0.2167,0.4288,1.1235,5.4634,0.0041,0.3779,0.4292,31.0064,0.0753,0.0155,0.8897,32,28,6,17,18,20,6,8,10,4,30,0,440,14,52,5,0,,,,,,,,,
5728,0.2431,0.8382,2.1245,8.501,0,0.6081,0.6319,26.326,0.1298,0.0163,1.1343,5,40,6,21,14,20,12,9,12,5,54,5,442,19,96,6,9,,,,,,,,,
5728.333,0.3379,0.5143,2.7939,10.1509,0,0.7555,0.818,23.1315,0.1688,0.0167,1.2942,15,44,5,22,13,16,7,11,11,5,51,1,285,17,95,5,11,,,,,,,,,
5728.667,0.3018,0.4506,2.9613,11.3301,0.0054,0.7822,0.8042,22.3443,0.1773,0.0176,1.2546,16,47,6,23,13,12,7,5,9,5,53,15,208,19,127,6,12,12.4,6.6,4,53.5,6.6,4.6,3.7,5.4,3.1
5729,0.283,0.6609,1.6749,5.7503,0,0.4494,0.4328,30.3122,0.0829,0.0156,0.9195,24,27,6,18,16,14,6,9,10,4,32,5,227,18,59,3,7,,,,,,,,,
5729.333,0.2741,0.8428,2.7329,7.9893,0,0.8669,0.5817,26.6572,0.1217,0.0162,1.1289,5,38,7,13,13,10,6,13,11,4,34,0,220,18,56,6,0,,,,,,,,,
5729.667,0.2461,0.8751,3.0761,7.9291,0,0.6344,0.6235,27.1165,0.1416,0.016,1.1462,4,33,4,23,17,20,6,13,12,4,35,15,234,19,73,5,16,,,,,,,,,
5730,0.1939,0.5884,0.3741,2.8925,0,0.2248,0.2239,36.1735,0.0297,0.0143,0.7919,46,12,8,10,14,7,5,5,7,3,18,2,235,11,21,3,0,2.4,8.8,5.2,62,6.6,4.2,3.2,4.4,3.2
5730.333,0.1981,0.632,0.6313,3.4534,0,0.4245,0.3214,34.1159,0.0386,0.0144,0.8348,26,18,7,14,12,9,5,10,10,4,22,0,214,13,27,3,1,2.4,6.1,4.8,64,5.7,4.9,4.5,3.8,3.8
5730.667,0.1318,0.4511,0.1296,1.9414,0,0.1798,0.0904,37.3221,0.0126,0.0141,0.7621,44,12,7,11,12,10,4,4,9,3,13,0,227,14,16,0,0,,,,,,,,,
5731,0.2162,1.25,0.043,1.7831,0,0.1674,0.0695,37.1341,0.0147,0.0137,0.7515,46,7,8,16,15,10,5,9,9,2,6,11,332,12,16,3,2,,,,,,,,,
5731.333,0.1872,0.6226,0.014,1.7572,0,0.0825,0.0614,36.499,0.0128,0.0138,0.7586,38,3,8,10,15,4,4,12,11,3,11,0,277,10,12,0,0,,,,,,,,,
5731.667,0.2108,1.0132,0.0169,1.7583,0,0.1361,0.0741,37.5166,0.0113,0.0143,0.7333,38,10,9,15,14,11,5,4,8,2,8,0,277,12,12,2,1,,,,,,,,,
5732,0.1344,0.9141,0.0057,1.8154,0,0.3104,0.0853,36.5702,0.0121,0.0137,0.7389,43,11,7,22,15,9,4,0,7,3,12,0,397,10,10,1,0,0.8,3.7,4.3,66.5,7,3.9,2.9,7.4,3.4
5732.333,0.2026,0.8422,0.0412,1.7956,0,0.1989,0.0774,37.917,0.0108,0.0139,0.7163,38,8,7,8,17,5,4,1,8,2,7,4,261,7,11,0,0,,,,,,,,,
5732.667,0.1162,0.2865,0.0711,1.8248,0,0.1945,0.0785,37.5941,0.0103,0.0141,0.7144,37,12,8,16,14,12,4,2,7,2,5,8,271,8,15,3,3,,,,,,,,,
5733,0.1523,1.1218,0.0512,1.8723,0,0.3317,0.0954,38.0513,0.0163,0.0141,0.726,55,10,7,5,13,10,4,4,7,3,12,0,310,10,15,0,0,,,,,,,,,
5733.333,0.1888,0.6987,0.1421,1.9545,0,0.3603,0.1111,36.5161,0.0134,0.0136,0.7786,41,6,8,7,12,5,5,6,9,3,13,0,304,10,17,0,0,,,,,,,,,
5733.667,0.2175,1.1961,0.2341,2.19,0,0.4303,0.1395,36.6748,0.0183,0.0138,0.7951,45,8,7,13,13,13,4,4,7,3,7,0,334,4,10,2,0,,,,,,,,,
5734,0.1777,0.5026,0.1144,2.0671,0,0.4084,0.115,36.0977,0.019,0.0138,0.8153,43,5,6,10,11,13,6,4,9,3,12,0,356,9,13,1,0,1,6.7,4.1,64.1,5.2,4.4,4.4,6.5,3.8
5734.333,0.2384,1.2981,0.1035,2.0096,0,0.429,0.1205,36.4252,0.0167,0.0139,0.7701,40,15,6,15,14,9,5,5,10,3,11,0,344,11,9,0,0,,,,,,,,,
5734.667,0.2083,0.9399,0.0935,1.9044,0,0.3311,0.0961,36.8391,0.0151,0.0139,0.7576,36,15,6,19,15,14,5,7,10,3,9,5,342,4,14,2,0,,,,,,,,,
5735,0.1881,0.1442,0.0349,1.8984,0,0.2238,0.0989,36.1324,0.012,0.0136,0.7816,34,7,8,13,14,7,4,8,9,2,6,0,329,6,12,1,0,,,,,,,,,
5735.333,0.1906,0.4264,0.0344,1.8978,0,0.2957,0.0944,36.0206,0.0136,0.0136,0.8133,42,9,8,12,11,6,4,9,9,3,10,0,347,10,12,1,0,,,,,,,,,
5735.667,0.2384,0.829,0.0542,1.8963,0,0.2386,0.1019,36.2086,0.0154,0.0136,0.8196,40,8,7,9,15,5,2,12,9,3,12,0,352,11,14,1,1,1.9,5.9,5.2,62.1,6,5.4,4.8,5.1,3.7
5736,0.1862,0.9224,0.0762,2.0971,0,0.2678,0.1397,36.1825,0.0179,0.0136,0.8389,36,9,7,19,13,9,4,8,8,3,12,3,345,7,14,2,4,,,,,,,,,
5736.333,0.1336,0.9277,0.0464,2.0583,0,0.2634,0.1271,36.3781,0.0159,0.0135,0.8519,43,11,7,15,15,0,3,5,6,3,12,9,315,13,14,0,0,,,,,,,,,
5736.667,0.2201,0.7805,0.251,2.4015,0,0.2482,0.1565,35.6649,0.0176,0.0137,0.8254,40,9,7,12,14,11,5,9,10,3,14,0,323,11,15,2,0,,,,,,,,,
5737,0.2066,1.0451,0.1575,2.2807,0,0.1895,0.1491,34.7998,0.0201,0.0135,0.8389,41,8,8,16,18,11,3,8,8,3,15,4,321,7,15,2,0,,,,,,,,,
5737.333,0.2096,1.5953,0.1127,2.2641,0,0.1964,0.1643,35.1416,0.0181,0.0137,0.8398,48,9,8,13,16,1,4,7,8,2,8,0,295,11,15,2,2,2.6,7.1,2.9,62.9,7.1,4.2,6,4.4,2.7
5737.667,0.2366,0.9065,0.0219,1.8874,0,0.2376,0.0983,36.7914,0.0133,0.014,0.7551,43,6,6,11,14,4,4,0,6,3,16,0,301,9,15,1,3,,,,,,,,,
5738,0.1518,0.3195,0.0388,1.821,0,0.2056,0.0755,36.6178,0.0093,0.0135,0.7548,38,7,8,12,17,2,3,6,9,2,7,0,311,11,8,0,0,,,,,,,,,
5739.333,0.1598,0.9905,0.1784,2.3252,0,0.232,0.1628,36.5485,0.0212,0.0136,0.7751,29,11,7,17,18,8,5,5,8,3,15,0,334,8,13,1,0,,,,,,,,,
5739.667,0.1574,0.6668,0.2517,2.7687,0,0.2612,0.1963,35.5559,0.0255,0.0138,0.7775,41,16,8,8,17,3,3,7,9,3,17,0,357,7,17,2,0,,,,,,,,,
5740,0.1786,0.3951,0.229,2.6243,0,0.2278,0.1897,34.3772,0.0218,0.0138,0.7486,31,14,7,12,16,0,3,4,8,2,13,0,291,6,9,0,0,2,6.6,4.1,64,4.9,3.8,3.3,6.5,4.9
5740.333,0.166,0.4386,0.1509,2.3057,0,0.2367,0.1362,36.1733,0.0126,0.0137,0.778,25,10,7,12,18,11,5,3,7,3,14,2,303,12,15,0,1,,,,,,,,,
5740.667,0.0981,0.8713,0.1377,2.157,0,0.1948,0.1209,36.3944,0.0115,0.0135,0.7161,39,9,8,4,15,8,5,5,9,3,14,0,285,6,14,2,0,,,,,,,,,
5741,0.1663,0.6746,0.0617,1.9567,0,0.1593,0.0991,37.4664,0.013,0.0137,0.7464,60,7,7,12,14,7,4,0,7,3,13,0,290,11,15,2,0,,,,,,,,,
5741.333,0.1551,0.2785,0.1394,2.1316,0,0.1748,0.1207,36.2985,0.0147,0.0137,0.7143,35,9,7,13,15,11,3,6,7,3,20,0,305,11,14,0,0,,,,,,,,,
5741.667,0.1589,1.0237,0.0291,1.8639,0,0.2285,0.0946,37.7067,0.0145,0.0136,0.741,42,9,8,17,17,10,3,3,8,3,6,0,282,8,13,1,0,1.3,4.7,5.1,61.3,5.4,5.4,4.8,6.9,5.2
5742,0.1635,0.6202,0.1099,1.8815,0,0.1986,0.0961,37.3271,0.0117,0.0138,0.7575,45,16,7,18,18,10,5,5,9,3,4,6,365,12,13,1,0,,,,,,,,,
5742.333,0.1269,1.107,0.0596,1.8209,0,0.2282,0.0832,38.0339,0.0087,0.0137,0.7725,45,7,7,23,17,6,3,10,9,3,10,0,278,6,12,0,1,,,,,,,,,
5742.667,0.2076,0.3713,0.0052,1.7787,0,0.2799,0.0837,36.6629,0.0101,0.0136,0.8229,33,5,8,15,13,21,1,12,9,2,7,0,285,7,14,1,3,,,,,,,,,
5743,0.1207,0.5449,0.216,2.5415,0,0.3898,0.1706,35.2109,0.0194,0.0138,0.8022,33,10,7,4,8,11,3,6,9,3,13,3,338,8,17,2,0,,,,,,,,,
