Depth (ft),%Na,%Mg,%Al,%Si,%P,%S,%K,%Ca,%Ti,%Mn,%Fe,V ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,As ppm,Pb ppm,Th ppm,Rb ppm,U ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite
5662.667,0.1546,0.2906,0.3878,3.014,0,0.5186,0.2131,35.6189,0.0292,0.0138,0.8319,42,18,9,13,17,13,4,2,6,3,14,0,220,21,21,0,0,1.6,5.3,4.6,61.5,6.9,5.4,5.9,3.8,5.2
5663,0.273,0.1527,0.9877,4.0518,0.0323,0.4341,0.3093,32.4655,0.0415,0.0139,0.8513,44,22,6,23,17,17,5,7,9,3,23,3,402,14,25,2,0,,,,,,,,,
5663.333,0.2749,0.7666,1.5984,5.2103,0.0666,1.1396,0.4611,30.6674,0.0803,0.0139,1.0604,38,29,5,49,20,9,7,24,17,5,41,0,361,14,49,4,5,,,,,,,,,
5663.667,0.2317,0.5853,0.9553,3.907,0.0897,0.5411,0.3248,33.2761,0.0534,0.0143,0.9562,45,30,7,22,15,17,5,12,11,3,19,0,294,16,22,1,0,,,,,,,,,
5664,0.2257,0,1.2722,4.1758,0.0149,0.534,0.3484,32.228,0.0536,0.0137,0.9672,35,28,5,24,15,10,6,7,10,4,26,2,210,18,33,2,3,,,,,,,,,
5664.333,0.2283,0.4059,0.3035,2.4493,0,0.2387,0.1727,35.5729,0.0272,0.0136,0.8176,48,13,7,22,15,6,3,4,8,3,13,4,205,13,27,2,0,2.3,5.8,4.5,61,5.8,4.2,4.8,7.5,4.1
5664.667,0.1649,1.0413,1.0759,3.7083,0,1.1658,0.2862,32.5576,0.053,0.0133,1.1341,41,18,5,30,18,22,4,19,14,4,24,0,355,14,23,0,0,,,,,,,,,
5665,0.2245,0.9549,1.2235,3.8244,0.0438,2.0659,0.3477,29.8375,0.0932,0.0127,1.4451,23,18,1,54,19,21,9,37,19,4,31,0,626,13,39,5,5,,,,,,,,,
5665.333,0.2483,0.5348,0.2346,2.4389,0,0.4087,0.1712,33.9563,0.0165,0.0134,0.845,47,9,6,15,12,7,3,7,8,3,21,0,267,19,23,0,0,,,,,,,,,
5665.667,0.2019,0.7197,0.5712,2.7647,0,1.5318,0.1633,31.929,0.0183,0.0128,1.1227,37,13,7,25,13,9,4,17,12,3,13,1,232,16,18,0,0,2,4.4,4.3,66.1,5.5,3.2,2.9,5.4,6.1
5666,0.1648,0,0.1651,2.1817,0,0.4553,0.1481,36.3832,0.0157,0.0134,0.764,34,25,6,26,18,9,2,11,10,3,10,0,207,14,20,0,0,,,,,,,,,
5666.333,0.1178,0.4117,0.2918,2.4409,0,0.4367,0.1704,36.5497,0.0186,0.0135,0.9137,51,21,6,27,13,14,3,11,10,3,14,4,234,14,19,2,0,,,,,,,,,
5666.667,0.1118,0.6106,0.1711,2.3934,0,0.2627,0.1388,37.3302,0.018,0.0137,0.8075,41,11,6,23,20,4,3,7,8,3,15,0,228,16,23,2,0,,,,,,,,,
5667,0.183,0.5079,0.1532,2.5386,0,0.7507,0.1812,34.3164,0.0227,0.0133,0.9063,54,14,7,22,14,13,5,10,10,3,20,0,225,18,21,2,0,,,,,,,,,
5667.333,0.1225,0.699,0.1869,2.3718,0,0.2703,0.1404,37.3481,0.0239,0.0136,0.8172,57,10,9,20,16,13,6,10,11,3,18,0,190,16,22,1,0,2.3,5.4,4.7,63.5,6.1,6.2,3.3,5.8,2.7
5667.667,0.2262,0.218,0.1527,2.4479,0,0.1942,0.162,35.0959,0.0191,0.0139,0.8465,46,10,7,27,10,9,4,13,11,3,15,0,206,13,21,1,2,,,,,,,,,
5668,0.2563,0.5228,0.5353,2.7473,0,0.5088,0.1687,33.7752,0.0273,0.0135,0.9177,51,14,5,23,18,9,3,10,10,3,16,0,638,6,9,3,0,,,,,,,,,
5668.333,0.1147,0,0.3529,2.599,0,0.3146,0.1603,35.4934,0.0224,0.0132,1.0135,40,16,8,20,19,5,2,20,14,3,13,0,247,18,25,1,0,,,,,,,,,
5668.667,0.1982,0.8309,0.403,2.9808,0,0.3656,0.1827,34.4652,0.0313,0.0131,1.0251,51,14,6,14,14,1,2,6,8,3,20,0,219,16,26,1,0,2,4.5,5.6,67.4,5.6,3.3,4.6,4.1,2.9
5669,0.1451,0.2752,0.3718,2.5816,0,0.3201,0.1967,35.441,0.032,0.0139,0.7752,46,8,6,19,15,7,2,9,8,3,13,7,341,14,28,1,0,,,,,,,,,
5669.333,0.1739,0.0633,0.4299,2.8549,0,0.4794,0.1984,34.7987,0.0324,0.0133,0.9316,37,13,7,15,15,11,2,11,10,3,21,0,422,14,22,2,0,,,,,,,,,
5669.667,0.187,0.0683,0.2431,2.6863,0,0.2813,0.1562,33.2144,0.0184,0.0135,0.9291,43,17,6,22,18,13,7,8,9,3,16,0,243,15,20,1,0,,,,,,,,,
5670,0.1851,0.1378,0.4455,2.8449,0,0.7735,0.2163,33.6738,0.0327,0.0132,1.0764,36,10,4,20,15,8,3,13,11,3,11,3,270,15,22,0,0,3,5.1,4.3,66.3,8.2,4.5,3.5,3.4,1.7
5670.333,0.2287,0.15,0.712,3.3505,0,0.9276,0.2426,32.6909,0.0428,0.0134,1.1955,41,15,4,21,16,15,7,10,11,3,20,0,250,14,28,1,0,,,,,,,,,
5670.667,0.1048,0.8632,0.2028,2.323,0,1.028,0.1378,36.3651,0.0223,0.0136,0.9698,45,12,6,11,15,9,3,4,9,3,17,0,264,12,18,3,0,,,,,,,,,
5671,0.1832,0.4502,0.1781,2.2037,0,0.2517,0.1369,36.4726,0.0152,0.0135,0.895,35,20,6,12,14,10,3,5,7,3,17,0,242,16,23,2,0,,,,,,,,,
5672.333,0.1354,0.5956,0.5346,3.1722,0.0216,0.7063,0.2008,34.4421,0.0316,0.0135,1.0345,58,19,2,39,21,21,11,38,15,6,50,0,1247,0,46,6,2,2.9,4.8,4.8,63.8,7.1,3.7,3.9,5.2,3.7
5673,0.1814,1.2692,0.9203,3.239,0,1.5515,0.229,34.0442,0.0325,0.0131,1.1271,47,19,4,14,16,11,6,14,12,3,21,9,293,18,33,2,2,,,,,,,,,
5673.333,0.1298,1.2571,0.5273,2.8155,0.0013,1.686,0.1883,34.7553,0.0314,0.0133,1.0829,60,10,6,17,12,13,5,15,13,3,17,0,252,17,23,0,0,,,,,,,,,
5673.667,0.2355,1.461,1.4055,4.8398,0.0147,1.6503,0.375,30.3387,0.0837,0.0136,1.262,30,22,4,30,17,13,6,28,20,3,27,0,306,16,39,3,0,,,,,,,,,
5674,0.2108,1.2102,0.323,3.0131,0,1.1257,0.1703,33.0029,0.0293,0.0135,0.9983,56,20,4,19,11,14,7,18,13,3,19,0,265,14,32,1,0,3.4,3,3.5,63.7,9.3,5.6,4.4,3.9,3.2
5674.333,0.1859,0.582,0.1769,2.2625,0,0.7438,0.1237,35.5631,0.0208,0.0134,1.071,60,10,4,17,16,8,5,15,13,3,17,0,265,16,24,1,0,,,,,,,,,
5674.667,0.1403,0.8915,0.2919,2.6024,0,0.9533,0.1486,35.0824,0.0231,0.0134,1.0578,49,14,5,19,16,11,3,7,7,3,16,0,236,19,22,2,0,,,,,,,,,
5675.333,0.1717,1.2971,0.2626,2.5113,0,1.3687,0.1504,36.1621,0.0301,0.0133,1.0145,49,14,5,20,18,6,2,8,7,3,18,0,221,20,28,1,0,,,,,,,,,
