Depth (ft),%Na,%Mg,%Al,%Si,%P,%S,%K,%Ca,%Ti,%Mn,%Fe,V ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,As ppm,Pb ppm,Th ppm,Rb ppm,U ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite,Modeled Quartz,Modeled Dolomite,Modeled Illite,Modeled Calcite,Modeled Gypsum,Modeled Microclin,Modeled Albite,Modeled Pyrite,Modeled Kaolinite
5667.3330000000005,0.1225,0.6990000000000001,0.1869,2.3718,0.0,0.2703,0.1404,37.3481,0.0239,0.0136,0.8172,57,10,9,20,16,13,6,10,11,3,18,0,190,16,22,1,0,2.3,5.4,4.7,63.5,6.1,6.2,3.3,5.8,2.7,2.1663742,5.7109246,4.457938,67.483665,6.569798,5.281366,4.387941,5.011064,4.0875874
5667.6669999999995,0.2262,0.218,0.1527,2.4479,0.0,0.1942,0.162,35.0959,0.0191,0.0139,0.8465,46,10,7,27,10,9,4,13,11,3,15,0,206,13,21,1,2,,,,,,,,,,2.0112517,4.7839117,4.225516,64.247986,6.236019,5.0768905,4.1097426,4.471252,4.148584
5668.0,0.2563,0.5228,0.5353,2.7473,0.0,0.5088,0.1687,33.7752,0.0273,0.0135,0.9177,51,14,5,23,18,9,3,10,10,3,16,0,638,6,9,3,0,,,,,,,,,,2.413146,5.5116096,4.2694783,63.01257,6.291598,4.8656573,4.0141387,4.6249413,3.9020977
5668.3330000000005,0.1147,0.0,0.3529,2.5989999999999998,0.0,0.3146,0.1603,35.4934,0.0224,0.0132,1.0135,40,16,8,20,19,5,2,20,14,3,13,0,247,18,25,1,0,,,,,,,,,,2.1161664,4.578309,4.3305516,65.937515,6.407708,5.225155,4.1796308,4.4175286,4.385846
5668.6669999999995,0.1982,0.8309,0.40299999999999997,2.9808,0.0,0.3656,0.1827,34.4652,0.0313,0.0131,1.0251,51,14,6,14,14,1,2,6,8,3,20,0,219,16,26,1,0,2.0,4.5,5.6,67.4,5.6,3.3,4.6,4.1,2.9,2.5141172,6.0903544,4.3595753,64.02247,6.419066,4.9263144,4.1234603,4.9052477,3.7861128
5669.0,0.1451,0.2752,0.3718,2.5816,0.0,0.3201,0.1967,35.441,0.032,0.0139,0.7752,46,8,6,19,15,7,2,9,8,3,13,7,341,14,28,1,0,,,,,,,,,,2.174377,4.99876,4.322248,65.21402,6.3769903,5.091237,4.154627,4.5763464,4.1943355
5669.3330000000005,0.1739,0.0633,0.4299,2.8549,0.0,0.4794,0.1984,34.7987,0.0324,0.0133,0.9316,37,13,7,15,15,11,2,11,10,3,21,0,422,14,22,2,0,,,,,,,,,,2.3145695,4.8337274,4.339648,65.05931,6.412102,5.0644455,4.096283,4.4455624,4.288809
5669.6669999999995,0.187,0.0683,0.2431,2.6863,0.0,0.2813,0.1562,33.2144,0.0184,0.0135,0.9291,43,17,6,22,18,13,7,8,9,3,16,0,243,15,20,1,0,,,,,,,,,,2.111144,4.587871,4.114429,61.842026,6.0730844,4.862151,3.9064052,4.2327423,4.072605
5670.0,0.1851,0.1378,0.4455,2.8449,0.0,0.7735,0.2163,33.6738,0.0327,0.0132,1.0764,36,10,4,20,15,8,3,13,11,3,11,3,270,15,22,0,0,3.0,5.1,4.3,66.3,8.2,4.5,3.5,3.4,1.7,2.4645972,5.094079,4.297938,63.60202,6.351163,4.9429064,4.0010896,4.4351606,4.119984
5670.3330000000005,0.2287,0.15,0.7120000000000001,3.3505,0.0,0.9276,0.2426,32.6909,0.0428,0.0134,1.1955,41,15,4,21,16,15,7,10,11,3,20,0,250,14,28,1,0,,,,,,,,,,2.7869194,5.3518558,4.3566866,63.202587,6.4387817,4.8259645,3.9269469,4.43872,4.093385
5670.6669999999995,0.1048,0.8632,0.2028,2.323,0.0,1.028,0.1378,36.3651,0.0223,0.0136,0.9698,45,12,6,11,15,9,3,4,9,3,17,0,264,12,18,3,0,,,,,,,,,,2.5374482,6.3993874,4.4961514,66.36034,6.62243,5.1184635,4.30859,5.1503954,3.8506653
5671.0,0.1832,0.4502,0.1781,2.2037,0.0,0.2517,0.1369,36.4726,0.0152,0.0135,0.895,35,20,6,12,14,10,3,5,7,3,17,0,242,16,23,2,0,,,,,,,,,,2.01815,5.1840744,4.3397393,66.22793,6.4055905,5.2572713,4.2881656,4.740085,4.1433496
5672.3330000000005,0.1354,0.5956,0.5346,3.1722,0.0216,0.7063,0.2008,34.4421,0.0316,0.0135,1.0345,58,19,2,39,21,21,11,38,15,6,50,0,1247,0,46,6,2,2.9,4.8,4.8,63.8,7.1,3.7,3.9,5.2,3.7,2.7075012,5.974243,4.4423614,64.768394,6.5477724,4.92661,4.1110487,4.836983,3.951823
5673.0,0.1814,1.2692,0.9203,3.239,0.0,1.5515,0.22899999999999998,34.0442,0.0325,0.0131,1.1271,47,19,4,14,16,11,6,14,12,3,21,9,293,18,33,2,2,,,,,,,,,,3.4658525,7.6771555,4.6144886,64.64649,6.7225103,4.924736,4.195678,5.34324,3.5727124
5673.3330000000005,0.1298,1.2571,0.5273,2.8155,0.0013,1.686,0.1883,34.7553,0.0314,0.0133,1.0829,60,10,6,17,12,13,5,15,13,3,17,0,252,17,23,0,0,,,,,,,,,,3.255405,7.609419,4.5849104,64.80902,6.6981416,4.9258595,4.222414,5.393263,3.5269046
5673.6669999999995,0.2355,1.4609999999999999,1.4055,4.8398,0.0147,1.6503,0.375,30.3387,0.0837,0.0136,1.262,30,22,4,30,17,13,6,28,20,3,27,0,306,16,39,3,0,,,,,,,,,,4.506577,8.642967,4.5918317,60.701515,6.5307755,4.7434106,3.9675343,5.218635,3.3476408
5674.0,0.2108,1.2102,0.32299999999999995,3.0131,0.0,1.1257,0.1703,33.0029,0.0293,0.0135,0.9983,56,20,4,19,11,14,7,18,13,3,19,0,265,14,32,1,0,3.4,3.0,3.5,63.7,9.3,5.6,4.4,3.9,3.2,2.9805076,7.156792,4.3451753,61.419594,6.353901,4.624151,3.9816663,5.1246657,3.3446434
5674.3330000000005,0.1859,0.5820000000000001,0.1769,2.2625,0.0,0.7438,0.1237,35.5631,0.0208,0.0134,1.071,60,10,4,17,16,8,5,15,13,3,17,0,265,16,24,1,0,,,,,,,,,,2.3034296,5.7042212,4.3613462,65.24207,6.435865,5.1306105,4.2197037,4.834022,3.954268
